name,id,type,producer_name,package,price,regular_price,savings,offer_end_date,stock_type,sugar_content,origin,is_vqa,description,image_thumb_url,image_url,varietal,style
G. Marquis the Silver Line Chardonnay 2011,258681,White Wine,Magnotta Winery,750 mL bottle,14.95,16.95,2.0,2013-06-23,VINTAGES,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0258681.jpg,http://lcbo.com/assets/products/720x720/0258681.jpg,Chardonnay,Full-bodied & Rich
,,,,,,,,,,,,,,,,,
Dan Aykroyd Merlot VQA,214940,Red Wine,Lakeview Cellars Estate Winery,750 mL bottle,12.95,14.95,2.0,2013-06-23,LCBO,XD - Extra Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0214940.jpg,http://lcbo.com/assets/products/720x720/0214940.jpg,Merlot,Medium-bodied & Fruity
Fifth Leg Old Dog New Tricks Shiraz,281345,Red Wine,Devil's Lair Vineyard,750 mL bottle,13.95,15.95,2.0,2013-06-23,LCBO,D - Dry,Australia,false,,,,Shiraz/Syrah,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ruffino Chianti Docg,1743,Red Wine,Ruffino S.R.L.,750 mL bottle,12.95,14.95,2.0,2013-06-23,LCBO,XD - Extra Dry,"Tuscany, Italy",false,,http://lcbo.com/assets/products/234x234/0001743.jpg,http://lcbo.com/assets/products/720x720/0001743.jpg,Chianti,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
Blu Giovello Prosecco,85316,Sparkling Wine,Martellozzo S.P.A.,750 mL bottle,12.95,14.95,2.0,2013-06-23,LCBO,,Italy,false,,http://lcbo.com/assets/products/234x234/0085316.jpg,http://lcbo.com/assets/products/720x720/0085316.jpg,Prosecco,Light & Fruity
Calvet Saint-Emilion,31898,Red Wine,J. Calvet & Cie - Bordeaux,750 mL bottle,17.45,19.45,2.0,2013-06-23,LCBO,XD - Extra Dry,"Bordeaux, France",false,,http://lcbo.com/assets/products/234x234/0031898.jpg,http://lcbo.com/assets/products/720x720/0031898.jpg,Bordeaux,Full-bodied & Firm
,,,,,,,,,,,,,,,,,
Bonterra Chardonnay,342436,White Wine,Fetzer Vineyards,750 mL bottle,16.95,18.95,2.0,2013-06-23,VINTAGES,D - Dry,"California, USA",false,"With tropical notes of pineapple and banana plus buttercream, caramel and smoke, this is a smooth, creamy Chardonnay. Bonterra's organic practices help express the vibrancy of the fruit. Pair with grilled shrimp, chicken tourtière or lobster with butter sauce.",http://lcbo.com/assets/products/234x234/0342436.jpg,http://lcbo.com/assets/products/720x720/0342436.jpg,Chardonnay,Aromatic & Flavourful
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Chateau St. Jean Pinot Noir,308221,Red Wine,Chateau St. Jean,750 mL bottle,17.95,19.95,2.0,2013-06-23,LCBO,XD - Extra Dry,"California, USA",false,,,,Pinot Noir,Medium-bodied & Fruity
The Dreaming Tree Crush Red Blend,310391,Red Wine,Constellation Brands Inc.,750 mL bottle,14.95,16.95,2.0,2013-06-23,LCBO,D - Dry,"California, USA",false,,,,Blend,Medium-bodied & Fruity
14 Hands Hot to Trot White Blend,280859,White Wine,14 Hands Winery,750 mL bottle,13.6,15.6,2.0,2013-06-23,LCBO,D - Dry,"Washington State, USA",false,,http://lcbo.com/assets/products/234x234/0280859.jpg,http://lcbo.com/assets/products/720x720/0280859.jpg,White Blend,Off-dry & Fruity
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
The Lucky Country Shiraz,145276,Red Wine,Two Hands Wines,750 mL bottle,13.15,15.15,2.0,2013-06-23,LCBO,XD - Extra Dry,Australia,false,,http://lcbo.com/assets/products/234x234/0145276.jpg,http://lcbo.com/assets/products/720x720/0145276.jpg,Shiraz/Syrah,Full-bodied & Smooth
35 South Cabernet Sauvignon Reserva,170019,Red Wine,Vina San Pedro,750 mL bottle,10.95,12.95,2.0,2013-06-23,LCBO,XD - Extra Dry,Chile,false,,http://lcbo.com/assets/products/234x234/0170019.jpg,http://lcbo.com/assets/products/720x720/0170019.jpg,Cabernet Sauvignon,Medium-bodied & Fruity
Jackson-Triggs Sauvignon Blanc,399428,White Wine,Cartier Wines & Beverages,1500 mL bottle,15.95,17.95,2.0,2013-06-23,LCBO,XD - Extra Dry,Canada,false,,,,Sauvignon Blanc,Light & Crisp
,,,,,,,,,,,,,,,,,
Folonari Valpolicella Ripasso Classico Doc,481838,Red Wine,Folonari S.P.A.,750 mL bottle,15.45,17.45,2.0,2013-06-23,LCBO,D - Dry,"Veneto, Italy",false,,http://lcbo.com/assets/products/234x234/0481838.jpg,http://lcbo.com/assets/products/720x720/0481838.jpg,Ripasso,Full-bodied & Smooth
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Masi Tupungato Passo Doble,620880,Red Wine,Masi Agricola S.P.A.,750 mL bottle,11.95,13.95,2.0,2013-06-23,LCBO,XD - Extra Dry,Argentina,false,,http://lcbo.com/assets/products/234x234/0620880.jpg,http://lcbo.com/assets/products/720x720/0620880.jpg,Blend,Full-bodied & Smooth
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Julian Chivite Gran Feudo Reserva,479014,Red Wine,Bodegas Julian Chivite,750 mL bottle,14.95,16.95,2.0,2013-06-23,VINTAGES,XD - Extra Dry,"Navarra, Spain",false,"In Spain, Reserva wines must be matured for three years in cask and bottle before release. This is an easygoing wine with aromas of cherry and spring flowers. It sizzles with hamburgers, beef empanadas or roast chicken stuffed with olives, almonds and paprika.",http://lcbo.com/assets/products/234x234/0479014.jpg,http://lcbo.com/assets/products/720x720/0479014.jpg,Tempranillo Blend,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
Zonin Ripasso Valpolicella Superiore Doc,170142,Red Wine,Zonin S.P.A.,750 mL bottle,14.95,16.95,2.0,2013-06-23,LCBO,D - Dry,"Veneto, Italy",false,,http://lcbo.com/assets/products/234x234/0170142.jpg,http://lcbo.com/assets/products/720x720/0170142.jpg,Ripasso,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
French Cross Red Cask,589069,Red Wine,Andres Wines Ltd,4000 mL bagnbox,30.95,32.95,2.0,2013-06-23,LCBO,D - Dry,Canada,false,,,,Blend,Medium-bodied & Fruity
Folonari Pinot Grigio,621821,White Wine,Folonari S.P.A.,1500 mL bottle,22.95,24.95,2.0,2013-06-23,LCBO,D - Dry,"Veneto, Italy",false,,,,Pinot Grigio,Light & Crisp
,,,,,,,,,,,,,,,,,
Straccali Chianti Docg,621227,Red Wine,Rocca Delle Macie S.P.A.,750 mL bottle,10.95,12.95,2.0,2013-06-23,LCBO,XD - Extra Dry,"Tuscany, Italy",false,,,,Chianti,Medium-bodied & Fruity
Chapoutier Belleruche Blanc,245340,White Wine,M. Chapoutier S.A.,750 mL bottle,12.95,14.95,2.0,2013-06-23,LCBO,XD - Extra Dry,"Rhône, France",false,,http://lcbo.com/assets/products/234x234/0245340.jpg,http://lcbo.com/assets/products/720x720/0245340.jpg,Rhône,Aromatic & Flavourful
Carmen Reserva Cabernet Sauvignon,78980,Red Wine,Vina Carmen,750 mL bottle,9.94,11.45,1.51,2013-06-23,LCBO,XD - Extra Dry,Chile,false,,http://lcbo.com/assets/products/234x234/0078980.jpg,http://lcbo.com/assets/products/720x720/0078980.jpg,Cabernet Sauvignon,Full-bodied & Smooth
French Cross Vidal,63313,White Wine,Andres Wines Ltd,1000 mL tetra,8.94,10.45,1.51,2013-06-23,LCBO,D - Dry,Canada,false,,,,Blend,Light & Crisp
Santa Rita Reserva Cabernet Sauvignon,253872,Red Wine,Vina Santa Rita,750 mL bottle,12.45,13.95,1.5,2013-06-23,LCBO,XD - Extra Dry,Chile,false,,http://lcbo.com/assets/products/234x234/0253872.jpg,http://lcbo.com/assets/products/720x720/0253872.jpg,Cabernet Sauvignon,Full-bodied & Smooth
,,,,,,,,,,,,,,,,,
Francois Lurton Pinot Grigio,556746,White Wine,Francois Lurton Sa,750 mL bottle,11.45,12.95,1.5,2013-06-23,LCBO,XD - Extra Dry,Argentina,false,,http://lcbo.com/assets/products/234x234/0556746.jpg,http://lcbo.com/assets/products/720x720/0556746.jpg,Pinot Grigio,Light & Crisp
Cavit Collection Pinot Grigio Delle Venezie IGT,99218,White Wine,Ca'Vit-Consorzio Cantine Sociali,750 mL bottle,10.45,11.95,1.5,2013-06-23,LCBO,XD - Extra Dry,"Veneto, Italy",false,,http://lcbo.com/assets/products/234x234/0099218.jpg,http://lcbo.com/assets/products/720x720/0099218.jpg,Pinot Grigio,Light & Crisp
,,,,,,,,,,,,,,,,,
