name,id,type,producer_name,package,price,regular_price,savings,offer_end_date,stock_type,sugar_content,origin,is_vqa,description,image_thumb_url,image_url,varietal,style
Angels Gate Chardonnay VQA,1818,White Wine,Angels Gate Winery,750 mL bottle,12.95,13.95,1.0,2013-06-23,LCBO,XD - Extra Dry,"Ontario, Canada",true,,,,Chardonnay,Aromatic & Flavourful
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Flat Rock Twisted,1578,White Wine,Flat Rock Cellars,750 mL bottle,15.95,16.95,1.0,2013-06-23,VINTAGES,D - Dry,"Ontario, Canada",true,"Traditional grapes with a twist: this is an off-beat blend of Riesling, Gewurztraminer and Chardonnay. Features vivid notes of pear, grapefruit, passion fruit, lime and stony mineral. Makes a great sipping wine or pair it with spicy calamari or roasted pork tenderloin.",http://lcbo.com/assets/products/234x234/0001578.jpg,http://lcbo.com/assets/products/720x720/0001578.jpg,White Blend,Aromatic & Flavourful
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mcwilliam's Hanwood Est Chardonnay,557934,White Wine,Mcwilliam's Wines Pty. Ltd.,750 mL bottle,12.95,13.95,1.0,2013-06-23,LCBO,XD - Extra Dry,Australia,false,,http://lcbo.com/assets/products/234x234/0557934.jpg,http://lcbo.com/assets/products/720x720/0557934.jpg,Chardonnay,Full-bodied & Rich
,,,,,,,,,,,,,,,,,
Jackson-Triggs Chardonnay,328518,White Wine,Jackson-Triggs Winery,750 mL bottle,9.05,10.05,1.0,2013-06-23,LCBO,D - Dry,Canada,false,,,,Chardonnay,Light & Crisp
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Truth White VQA,213975,White Wine,Legends Estate Winery,750 mL bottle,11.95,12.95,1.0,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0213975.jpg,http://lcbo.com/assets/products/720x720/0213975.jpg,Blend,Light & Crisp
,,,,,,,,,,,,,,,,,
Henkell Trocken,122689,Sparkling Wine,Henkell & Sohnlein Sektkellereien,750 mL bottle,12.95,13.95,1.0,2013-06-23,LCBO,,Germany,false,,http://lcbo.com/assets/products/234x234/0122689.jpg,http://lcbo.com/assets/products/720x720/0122689.jpg,Sparkling,Light & Fruity
,,,,,,,,,,,,,,,,,
Pelee Island Baco Noir VQA,485128,Red Wine,Pelee Island Vineyard Inc.,750 mL bottle,10.95,11.95,1.0,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0485128.jpg,http://lcbo.com/assets/products/720x720/0485128.jpg,Baco Noir,Full-bodied & Firm
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rene Barbier Mediterranean White,332767,White Wine,Rene Barbier S.A.,750 mL bottle,8.94,9.94,1.0,2013-06-23,LCBO,D - Dry,"Penedès, Spain",false,,http://lcbo.com/assets/products/234x234/0332767.jpg,http://lcbo.com/assets/products/720x720/0332767.jpg,Blend,Light & Crisp
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Van Loveren Sauvignon Blanc Chardonnay,294280,White Wine,Montes S.A.,750 mL bottle,11.15,12.15,1.0,2013-06-23,LCBO,XD - Extra Dry,South Africa,false,,,,Sauvignon Blanc/Chardonnay,Light & Crisp
Girls Night Out Riesling VQA,134197,White Wine,Colio Wines of Canada Ltd.,750 mL bottle,11.95,12.95,1.0,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,,,Riesling,Aromatic & Flavourful
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ch Des Charmes Cabernet Merlot VQA,454991,Red Wine,Chateau Des Charmes,750 mL bottle,11.95,12.95,1.0,2013-06-23,LCBO,XD - Extra Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0454991.jpg,http://lcbo.com/assets/products/720x720/0454991.jpg,Cabernet/Merlot,Medium-bodied & Fruity
Jackson-Triggs Cabernet Sauvignon,328534,Red Wine,Jackson-Triggs Winery,750 mL bottle,8.94,9.94,1.0,2013-06-23,LCBO,D - Dry,Canada,false,,,,Cabernet Sauvignon,Medium-bodied & Fruity
Strewn Gewurztraminer VQA,65359,White Wine,Strewn Inc.,750 mL bottle,11.95,12.95,1.0,2013-06-23,LCBO,XD - Extra Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0065359.jpg,http://lcbo.com/assets/products/720x720/0065359.jpg,Gewürztraminer,Aromatic & Flavourful
Alianca Vinho Verde,75663,White Wine,Caves Alianca Vinicola de Sangalhos,750 mL bottle,7.95,8.94,0.99,2013-06-23,LCBO,D - Dry,"Vinho Verde, Portugal",false,,http://lcbo.com/assets/products/234x234/0075663.jpg,http://lcbo.com/assets/products/720x720/0075663.jpg,Vinho Verde,Off-dry & Fruity
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Arbor Mist Exotic Fruits White Zinfandel,512988,Specialty Wines/Other,Canandaigua Wine Company Inc.,750 mL bottle,6.5,7.0,0.5,2013-06-23,LCBO,,USA,false,,,,Flavoured Wine,Medium
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
